City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,shalkar,47.8288,59.6258,305.97,24,overcast clouds,2.1,KZ,1690658140
212,kirillov,59.863,38.3813,285.71,96,overcast clouds,0.68,RU,1690658140
213,belyayevka,51.3974,56.4096,299.28,38,overcast clouds,5.08,RU,1690658141
214,la chapelle-saint-luc,48.3173,4.0399,295.18,83,thunderstorm,2.06,FR,1690658141
215,puerto deseado,-47.7503,-65.8938,285.21,54,overcast clouds,14.46,AR,1690657780
216,naifaru,5.4444,73.3657,301.58,76,overcast clouds,6.62,MV,1690658141
217,san francisco de la paz,14.9,-86.2,302.99,97,light rain,0.82,HN,1690658142
218,hithadhoo,-0.6,73.0833,300.13,79,overcast clouds,4.99,MV,1690657651
219,al ghayzah,16.2079,52.176,299.83,81,light rain,4.37,YE,1690658142
220,queenstown,-31.8976,26.8753,280.87,68,overcast clouds,9.41,ZA,1690657747
221,novyy urgal,51.0736,132.5642,289.46,98,overcast clouds,0.8,RU,1690658142
222,mesyagutovo,55.5303,58.2528,292.44,69,clear sky,1.69,RU,1690658143
223,utrik,11.2278,169.8474,301.4,80,light rain,9.78,MH,1690657629
224,kidal,18.4411,1.4078,299.6,62,moderate rain,10.31,ML,1690658143
225,mukalla,14.5425,49.1242,303.82,64,light rain,4.49,YE,1690657806
226,gadzhiyevo,69.2551,33.3362,284.96,96,overcast clouds,2.45,RU,1690657695
227,pula,44.8683,13.8481,296.46,78,clear sky,0.0,HR,1690658144
228,el jadid,33.2549,-8.506,296.75,81,clear sky,5.32,MA,1690658144
229,punta arenas,-53.15,-70.9167,278.69,88,overcast clouds,4.5,CL,1690657618
230,kununurra,-15.7667,128.7333,293.14,77,broken clouds,0.0,AU,1690657972
231,codo,-4.4553,-43.8856,309.76,26,scattered clouds,2.05,BR,1690658144
232,cold lake,54.4502,-110.2017,294.12,52,broken clouds,3.09,CA,1690658145
233,sitka,57.0531,-135.33,290.09,77,few clouds,0.0,US,1690657784
234,brisas de zicatela,15.8369,-97.0419,306.44,55,overcast clouds,2.57,MX,1690658145
235,vordingborg,55.008,11.9106,293.7,67,overcast clouds,5.78,DK,1690658145
236,nchelenge,-9.3451,28.734,294.04,53,clear sky,1.19,ZM,1690658145
237,mount pearl,47.5166,-52.7813,296.95,78,light intensity shower rain,10.29,CA,1690657458
238,dzuunharaa,48.8523,106.4579,294.58,51,broken clouds,3.19,MN,1690658146
239,tulun,54.5611,100.5792,290.32,95,light rain,4.68,RU,1690658147
240,itamaraca,-7.7478,-34.8256,300.18,76,few clouds,3.67,BR,1690658148
241,ta`u,-14.2336,-169.5144,299.71,81,light rain,6.41,AS,1690657622
242,hunedoara,45.75,22.9,294.54,58,clear sky,1.9,RO,1690658148
243,newman,37.3138,-121.0208,307.34,10,clear sky,1.27,US,1690657693
244,tual,-5.6667,132.75,298.91,80,overcast clouds,9.45,ID,1690658149
245,tordera,41.6991,2.7189,301.86,90,clear sky,3.13,ES,1690658150
246,yuzhno-kurilsk,44.0306,145.8556,292.73,95,moderate rain,0.61,RU,1690658150
247,ancud,-41.8697,-73.8203,284.74,89,light rain,8.83,CL,1690658150
248,gao,16.6362,1.637,309.38,28,few clouds,2.67,ML,1690658151
249,kailua-kona,19.6406,-155.9956,301.13,75,clear sky,5.66,US,1690657866
250,tazovsky,67.4667,78.7,285.3,99,overcast clouds,3.97,RU,1690657528
251,tejen,37.3834,60.5054,305.73,14,clear sky,4.39,TM,1690657734
252,olinda,-8.0089,-34.8553,300.0,78,scattered clouds,6.17,BR,1690658152
253,nova sintra,14.8667,-24.7167,295.51,75,few clouds,7.82,CV,1690658152
254,manali,13.1667,80.2667,304.86,66,broken clouds,5.78,IN,1690658036
255,el aouinet,35.8669,7.8867,307.68,33,broken clouds,4.91,DZ,1690658153
256,kharp,66.8014,65.8081,287.94,78,clear sky,2.57,RU,1690658154
257,tobruk,32.0836,23.9764,299.43,78,clear sky,8.38,LY,1690658154
